id,name,type,age,year,sector,genre,land,production,regie
thplwhiwr,The Play What I Wrote,2,13,2002,4,6,UK,West End,
famtwu,Foley and Mccoll This Way Up,2,16,2005,1,6,UK,BBC,Ed Bye
extras,Extras,2,17,2006,2,6,UK,BBC,Ricky Geravis
debo,December Boys,2,18,2007,1,2,AUS,Film Finance Corporation Australia,Rod Hardy
equus,Equus,2,18,2007,4,2,UK,West End,
myboja,My Boy Jack,2,18,2007,1,2,UK,Ecosse Films,Brian Kirk
disi22,Die Simpsons,2,21,,2,8,US,20th Century Studios,Bob Anderson
hotosuinbuwiretr,How to Suceed in Business Without Really Trying ,2,22,2011,4,6,US,Broadway,
thwoinbl,The Woman in Black,2,23,2012,1,4,UK,Hammer Films,James Watkins
roch,Robot Chicken,2,23,2012,2,8,US,Stoopid Buddy Stoodios,Seth Green
beginners,Beginners,2,23,2012,5,9,UK,Slow Club,Lucy Needs
ayodo,A Young Doctors Notebook,2,23,2012,2,2,UK,Big Talk Productions,
kiyoda,Kill your Darlings,2,24,2013,1,2,US,Killer Films,John Krokidas
thfwo,The F-Word,2,24,2013,1,6,CAN,Caramel Film,Michael Dowse
horns,Horns,2,24,2013,1,3,US,Red Granite Pictures,Alexandre Aja
thcrofinUK,The Cripple of Inishmaan,2,24,2013,4,6,UK,West End,
thcrofinUS,The Cripple of Inishmaan,2,25,2014,4,6,US,West End,
disi25,Die Simpsons,2,25,2014,2,8,US,20th Century Studios,Matthew Schofield
trainwreck ,Trainwreck,2,26,2015,1,6,US,Apatow Productions,Judd Apatow
bojaho2,BoJack Horseman,2,26,2015,2,8,US,Tornate Co,Ralph Bob Waksberg
thga,The Gamechanger,2,26,2015,1,7,UK,ReFuel Productions,Loui Psihoyos
vifr,Victor Frankenstein,2,26,2015,1,4,UK,20th Century Studios,Paul McGuigan
noyoseme2,Now You See Me 2,2,27,2016,1,1,US,Lions Gate Entertainment,John M Chu
imperium,Imperium,2,27,2016,1,7,US,Grindstone Entertainment Group LLC,Daniel Ragussis
swarma,Swiss Army Man,2,27,2016,1,6,US,Cold Iron Pictures,Dan Kwan
loinlo,Lost in London,2,28,2017,1,6,US,Tiberius Film,Woody Harrelson
jungle,Jungle,2,28,2017,1,1,AUS,Momentum Pictures,Greg McLean
roanguarde,Rosencrantz & Guildenstern are Dead,2,28,2017,4,6,UK,Old Vic Theatre,David Leveaux
beofbu,Beast of Burden,2,29,2018,1,1,US,Momentum Pictures,Jesper Granslandt
thliofafa,The Lifespan of a Fact,2,29,2018,4,6,US,,
playmobil,Playmobil,2,30,2019,1,8,FR,STX Films,Lino DiSalvo
bojaho6,BoJack Horseman,2,30,2019,2,8,US,Tornate Co,Ralph Bob Waksberg
miwo1,Miracle Workers,2,30,2019,2,6,US,Broadway,Simon Rich
guak,Guns Akimbo,2,30,2019,1,1,DE,Altitude Film Entertainment,Jason Howden
miwo2,Miracle Workers,2,31,2020,2,6,US,Broadway,Simon Rich
esfrpr,Escape from Pretonia,2,31,2020,1,7,UK,Footprints Film,Francis Annan
unkisc,Unbreakable Kimmy Schmidt,2,31,2020,2,6,US,3 Arts Entertainment,Robert Carlock
endgame,Endgame,2,31,2020,4,2,UK,Old Vic Theatre,
miwo3,Miracle Workers,2,32,2021,2,6,US,Broadway,Simon Rich
thloci,The Lost City,2,33,2022,1,1,UK,Paramount Pictures,Aaron Nee
prco,Profession Comedien,2,33,2022,2,6,FR,,
weird,Weird,2,33,2022,1,7,US,Funny or Die,Eric Appel
rianmo,Rick and Morty,2,33,2022,2,8,US,Williams Street,Dan Harmon
danielra,Daniel Radcliffe,1,,1989,7,,,,
ween,West End,2,,,9,,,,
bbc,BBC,2,,,9,,,,
fificoau,Film Finance Corporation Australia,2,,,9,,,,
ecfi,Ecosse Films,2,,,9,,,,
20thcest,20th Century Studios,2,,,9,,,,
broadway,Broadway,2,,,9,,,,
hafi,Hammer Filme,2,,,9,,,,
stbust,Stoopid Buddy Stoodios,2,,,9,,,,
slcl,Slow Club,2,,,9,,,,
kifi,Killer Films,2,,,9,,,,
cafi,Caramel Film,2,,,9,,,,
regrpi,Red Granite Pictures,2,,,9,,,,
appr,Apatow Productions,2,,,9,,,,
repr,ReFuel Productions,2,,,9,,,,
ligaen,Lions Gate Entertainment,2,,,9,,,,
grengrllc,Grindstone Entertainment Group LLC,2,,,9,,,,
coirpi,Cold Iron Pictures,2,,,9,,,,
tifi,Tiberius Film,2,,,9,,,,
mopi,Momentum Pictures,2,,,9,,,,
olvith,Old Vic Theatre,2,,,9,,,,
stxfi,STX Films,2,,,9,,,,
papi,Paramount Pictures,2,,,9,,,,
fuordi,Funny or Die,2,,,9,,,,
wist,Williams Street,2,,,9,,,,
toco,Tornate Co,2,,,9,,,,
bitapr,Big Talk Productions,2,,,9,,,,
edby,Ed Bye,1,,,8,,,,
rige,Ricky Geravis,1,,,8,,,,
roha,Rod Hardy,1,,,8,,,,
brki,Brian Kirk,1,,,8,,,,
boan,Bob Anderson,1,,,8,,,,
jawa,James Watkins,1,,,8,,,,
segr,Seth Green,1,,,8,,,,
lune,Lucy Needs,1,,,8,,,,
jokr,John Krokidas,1,,,8,,,,
mido,Michael Dowse,1,,,8,,,,
alaj,Alexandre Aja,1,,,8,,,,
masc,Matthew Schofield,1,,,8,,,,
juap,Judd Apatow,1,,,8,,,,
lops,Loui Psihoyos,1,,,8,,,,
pamcgu,Paul McGuigan,1,,,8,,,,
jomch,John M Chu,1,,,8,,,,
dara,Daniel Ragussis,1,,,8,,,,
dakw,Dan Kwan,1,,,8,,,,
woha,Woody Harrelson,1,,,8,,,,
grmcle,Greg McLean,1,,,8,,,,
dale,David Leveaux,1,,,8,,,,
jegr,Jesper Granslandt,1,,,8,,,,
lidisa,Lino DiSalvo,1,,,8,,,,
siri,Simon Rich,1,,,8,,,,
jaho,Jason Howden,1,,,8,,,,
fran,Francis Annan,1,,,8,,,,
roca,Robert Carlock,1,,,8,,,,
aane,Aaron Nee,1,,,8,,,,
erap,Eric Appel,1,,,8,,,,
daha,Dan Harmon,1,,,8,,,,
rabowa,Ralph Bob Waksberg,1,,,8,,,,
altfilment,Altitude Film Entertainment,1,,,9,,,,
footfilm,Footprints Film,1,,,9,,,,
3artent,3 Arts Entertainment,1,,,9,,,,