from,to,relation,,,
bw,stra,1,,,1=Darsteller
bw,ac,1,,,
bw,ther,6,,,2=Produzent
bw,thes,1,,,
bw,afd,1,,,3=Regie
bw,bis,1,,,
bw,mdis,1,,,4=Werbepartner
bw,wntrat,1,,,
bw,swt,1,,,5=Engagement
bw,wknn,1,,,
bw,acc,1,,,6=Synchronsprecher
hme,stra,2,,,
wtwt,ac,2,,,
cjent,ther,2,,,
ient,thes,2,,,
aobp,afd,2,,,
ec,bis,2,,,
mvent,mdis,2,,,
bellef,swt,2,,,
nnp,wknn,2,,,
tfx,acc,2,,,
cbee,stra,3,,,
rcsn,ac,3,,,
hmtnz,ther,3,,,
stbrwn,thes,3,,,
jhddls,afd,3,,,
aas,bis,3,,,
jgd,mdis,3,,,
amgr,wntrat,3,,,
dalln,swt,3,,,
tclg,wknn,3,,,
diztt,acc,3,,,
bw,frhrbr,4,,,
bw,gpovpro,5,,,
bw,swcswg,3,,,
bw,kthy,3,,,
bw,sex,3,,,
bw,medankl,3,,,