id,name,type,age,year,sector,produktionsfirma,regisseur,genre,country,,
bw,Bonnie Wright,1,32,1991,7,,,,,,
stra,stranded,2,,2002,1,Hallmark Entertainement ,Charles Beeson,1,USA,type,
ac,Agatha Christie,2,,2004,1,Wall to Wall Television,Richard Curson Smith,2,UK,,
ther,The Replacements,2,,2007,2,Cookie Jar Enternainement,Heather Martinez,8,USA,1=Person,
thes,The Sea,2,,2013,1,Independent Entertainement,Stephen Brown,2,IRL ,,
afd,After The Dark,2,,2013,1,An Olive Branch Productions,John Huddels,5,USA,2=keine Person,
bis,Before I Sleep,2,,2013,1,Elemental Cinema,Aaron Sharff,2,USA,,
mdis,My Dad is Scrooge,2,,2014,1,MarVista Entertainement,Justin G. Dyck,6,CAN,sector,genre
wntrat,How not to rob a Train,2,,2014,6,,Anna Maguire,9,UK,,
swt,Sweat,2,,2014,6,Belle Films,David Allain,9,UK,1=Film,1=Action
wknn,Who Killed Nelson Nutmeg,2,,2015,1,Nelson Nutmeg Pictures,Tim Clague,1,UK,,
acc,A Christmas Carol,2,,2018,1,Towerflix,David Izatt,5,USA,2=Serie,2=Drama
hme,Hallmark Entertainement,2,,,9,,,,,,
wtwt,Wall to Wall Television,2,,,9,,,,,3=Werbung,3=Thriller
cjent,Cookie Jar Enternainement,2,,,9,,,,,,
ient,Independent Entertainement,2,,,9,,,,,4=Theater,4=Horror
aobp,An Olive Branch Productions,2,,,9,,,,,,
ec,Elemental Cinema,2,,,9,,,,,5=Musik,5=Fantasy
mvent,MarVista Entertainement,2,,,9,,,,,,
bellef,Belle Films,2,,,9,,,,,6=Sonstiges,6=Komödie
nnp,Nelson Nutmeg Pictures,2,,,9,,,,,,
tfx,Towerflix,2,,,9,,,,,7=Darsteller,7=Dokumentation
cbee,Charles Beeson,2,,,8,,,,,,
rcsn,Richard Curson Smith,2,,,8,,,,,8=Regisseur,8=Animation
hmtnz,Heather Martinez,2,,,8,,,,,,
stbrwn,Stephen Brown,2,,,8,,,,,9=Produktion,9=Sonstiges
jhddls,John Huddels,2,,,8,,,,,,
aas,Aaron Sharff,2,,,8,,,,,,
jgd,Justin G. Dyck,2,,,8,,,,,,
amgr,Anna Maguire,2,,,8,,,,,,
dalln,David Allain,2,,,8,,,,,,
tclg,Tim Clague,2,,,8,,,,,,
diztt,David Izatt,2,,,8,,,,,,
frhrbr,Fair Harbor,2,,,3,,,,,,
gpovpro,Global Poverty Project,2,,,6,,,,,,
swcswg,Seperate we come seperate we go,2,,2012,1,Bon Bon Lumiere ,Bonnie Wright,2,UK,,
kthy,Know Thyself,2,,2014,1,Bon Bon Lumiere ,Bonnie Wright,2,UK,,
sex,Sextant,2,,2016,1,Bon Bon Lumiere ,Bonnie Wright,2,UK,,
medankl,Medusas Ankles,2,,2018,1,Bon Bon Lumiere ,Bonnie Wright,2,UK,,
bblmr,Bon Bon Lumiere,2,,,9,,,,,,